"PoiName";"ZoneCode";"PoiDescription";"PoiTypeId";"UsageTypeId";"PropertyTypeId";"PrimaryBrandId";"PrimaryBrandKeyId";"OperatorMasterId";"PoiStatusId";"Latitude";"Longitude"
"Zone Verte";"38003";"";1;1;1;349;123;3338001;4;null;null
"Zone Violette";"38002";"";1;1;1;349;123;3338001;4;null;null
"Zone Orange";null;null;1;1;1;349;349;3338001;4;null;null
"Zone Verte";"38003";"";1;1;1;349;349;3338001;4;null;null
"Zone Violette";"38002";"";1;1;1;349;349;3338001;4;null;null
"Grenoble - Place de Metz";"38001";"Grenoble - Place de Metz";1;1;1;349;1;3338001;4;"45.1940200";"5.7256400"
"Grenoble - Place de Metz";"38001";"Grenoble - Place de Metz";1;1;1;349;1;3338001;4;"45.1936200";"5.7297000"
"Grenoble - Place de Metz";"38001";"Grenoble - Place de Metz";1;1;1;349;1;3338001;4;"45.1879000";"5.7252900"
"Grenoble - Place de Metz";"38001";"Grenoble - Place de Metz";1;1;1;349;1;3338001;4;"45.1882900";"5.7144300"
"Grenoble - Place de Metz";"38001";"Grenoble - Place de Metz";1;1;1;349;1;3338001;4;"45.1918500";"5.7151500"
"Grenoble - Place de Metz";"38001";"Grenoble - Place de Metz";1;1;1;349;1;3338001;4;"45.1904900";"5.7318800"
"Grenoble - Place de Metz";"38001";"Grenoble - Place de Metz";1;1;1;349;1;3338001;4;"45.1885500";"5.7324400"
"Grenoble - Place de Metz";"38001";"Grenoble - Place de Metz";1;1;1;349;1;3338001;4;"45.1862300";"5.7231300"
"Grenoble - Place de Metz";"38001";"Grenoble - Place de Metz";1;1;1;349;1;3338001;4;"45.1871800";"5.7303500"
"Grenoble - Place de Metz";"38001";"Grenoble - Place de Metz";1;1;1;349;1;3338001;4;"45.1940200";"5.7256400"
"Grenoble - Place de Metz";"38001";"Grenoble - Place de Metz";1;1;1;349;1;3338001;4;"45.1936200";"5.7297000"
"Grenoble - Place de Metz";"38001";"Grenoble - Place de Metz";1;1;1;349;1;3338001;4;"45.1879000";"5.7252900"
"Grenoble - Place de Metz";"38001";"Grenoble - Place de Metz";1;1;1;349;1;3338001;4;"45.1882900";"5.7144300"
"Grenoble - Place de Metz";"38001";"Grenoble - Place de Metz";1;1;1;349;1;3338001;4;"45.1918500";"5.7151500"
"Grenoble - Place de Metz";"38001";"Grenoble - Place de Metz";1;1;1;349;1;3338001;4;"45.1904900";"5.7318800"
"Grenoble - Place de Metz";"38001";"Grenoble - Place de Metz";1;1;1;349;1;3338001;4;"45.1885500";"5.7324400"
"Grenoble - Place de Metz";"38001";"Grenoble - Place de Metz";1;1;1;349;1;3338001;4;"45.1862300";"5.7231300"
"Grenoble - Place de Metz";"38001";"Grenoble - Place de Metz";1;1;1;349;1;3338001;4;"45.1871800";"5.7303500"
"Grenoble - Rue Hoche";"38003";"Grenoble - Rue Hoche";1;1;1;349;1;3338001;4;"45.1975700";"5.7124000"
"Grenoble - Rue Hoche";"38003";"Grenoble - Rue Hoche";1;1;1;349;1;3338001;4;"45.1962240";"5.7174960"
"Grenoble - Rue Hoche";"38003";"Grenoble - Rue Hoche";1;1;1;349;1;3338001;4;"45.1935600";"5.7219800"
"Grenoble - Rue Hoche";"38003";"Grenoble - Rue Hoche";1;1;1;349;1;3338001;4;"45.1920500";"5.7228900"
"Grenoble - Rue Hoche";"38003";"Grenoble - Rue Hoche";1;1;1;349;1;3338001;4;"45.1907510";"5.7121860"
"Grenoble - Rue Hoche";"38003";"Grenoble - Rue Hoche";1;1;1;349;1;3338001;4;"45.1851420";"5.7044860"
"Grenoble - Rue Hoche";"38003";"Grenoble - Rue Hoche";1;1;1;349;1;3338001;4;"45.1823140";"5.7139970"
"Grenoble - Rue Hoche";"38003";"Grenoble - Rue Hoche";1;1;1;349;1;3338001;4;"45.1824080";"5.7201700"
"Grenoble - Rue Hoche";"38003";"Grenoble - Rue Hoche";1;1;1;349;1;3338001;4;"45.1796690";"5.7176620"
"Grenoble - Rue Hoche";"38003";"Grenoble - Rue Höche";1;1;1;349;1;3338001;4;"45.1793900";"5.7212950"
"Grenoble - Rue Hoche";"38003";"Grenoble - Rue Hoche";1;1;1;349;1;3338001;4;"45.1808500";"5.7266300"
"Grenoble - Rue Hoche";"38003";"Grenoble - Rue Hoche";1;1;1;349;1;3338001;4;"45.1813910";"5.7295240"
"Grenoble - Rue Hoche";"38003";"Grenoble - Rue Hoche";1;1;1;349;1;3338001;4;"45.1832880";"5.7272570"
"Grenoble - Rue Hoche";"38003";"Grenoble - Rue Hoche";1;1;1;349;1;3338001;4;"45.1842800";"5.7305800"
