"PoiName","ZoneCode","PoiDescription","PoiTypeId","UsageTypeId","PropertyTypeId","PrimaryBrandId","PrimaryBrandKeyId","OperatorMasterId","PoiStatusId","Latitude","Longitude"
"Saint-Marc Halle aux Toiles (4)","76104","Saint-Marc Halle aux Toiles (4)",1,1,1,349,1,3376101,4,"49.4397400","1.0999400"
"Hôtel de Ville (3)","76103","Hôtel de Ville (3)",1,1,1,349,1,3376101,4,"49.4446800","1.1021800"
"Lecanuet Beauvoisine (2)","76102","Lecanuet Beauvoisine (2)",1,1,1,349,1,3376101,4,"49.4453100","1.0940500"
"Lecanuet Beauvoisine (2)","76102","Lecanuet Beauvoisine (2)",1,1,1,349,1,3376101,4,"49.4453100","1.0940500"
"Vieux-Marché Cathédrale (1)","76101","Vieux-Marché Cathédrale (1)",1,1,1,349,1,3376101,4,"49.4415400","1.0865500"
"Vieux-Marché Cathédrale (1)","76101","Vieux-Marché Cathédrale (1)",1,1,1,349,1,3376101,4,"49.4415400","1.0865500"
"Vieux-Marché Cathédrale (1)","76101","Vieux-Marché Cathédrale (1)",1,1,1,349,1,3376101,4,"49.4415400","1.0865500"
"Préfecture (5)","76105","Préfecture (5)",1,1,1,349,1,3376101,4,"49.4506600","1.0927800"
"Gare (6)","76106","Gare (6)",1,1,1,349,1,3376101,4,"49.4455700","1.0802200"
"Saint-Hilaire Gambetta (7)","76107","Saint-Hilaire Gambetta (7)",1,1,1,349,1,3376101,4,"49.4416700","1.1098300"
"Saint-Sever (8)","76108","Saint-Sever (8)",1,1,1,349,1,3376101,4,"49.4346700","1.0857700"
"Avenue de Caen Saint-Julien (10)","76110","Avenue de Caen Saint-Julien (10)",1,1,1,349,1,3376101,4,"49.4255200","1.0834300"
"Zone Courte","76001","Zone Courte",1,1,1,349,1,3376101,4,"49.4388700","1.0955300"
"Zone Moyenne","76002","Zone Moyenne",1,1,1,349,1,3376101,4,"49.4385700","1.0908100"
"Zone Gymnase","76003","Zone Gymnase",1,1,1,349,1,3376101,4,"49.4394700","1.1142900"
"Zone 15 minute Gratuite","76004","Zone 15 minute Gratuite",1,1,1,349,1,3376101,4,"49.4336400","1.0886400"
"Everywhere","76200","Everywhere",1,1,1,349,1,3376101,4,"49.4419500","1.0946000"
